filename,label
Abuse_1.wav,No
Abuse_2.wav,No
Abuse_4.wav,No
Abuse_5.wav,No
Abuse_6.wav,No
Abuse_8.wav,No
Abuse_9.wav,Yes
Abuse_10.wav,Yes
Abuse_12.wav,Yes
Abuse_13.wav,Yes
Abuse_15.wav,Yes
Abuse_17.wav,No
Abuse_20.wav,Yes
Abuse_21.wav,Yes
Abuse_22.wav,No
Abuse_23.wav,Yes
Abuse_24.wav,Yes
Abuse_25.wav,Yes
Abuse_26.wav,No
Abuse_27.wav,No
Abuse_28.wav,Yes
Abuse_29.wav,Yes
Abuse_31.wav,Yes
Abuse_33.wav,No
Abuse_34.wav,Yes
Abuse_35.wav,Yes
Abuse_36.wav,No
Abuse_38.wav,Yes
Abuse_39.wav,No
Abuse_40.wav,Yes
Abuse_42.wav,Yes
Abuse_44.wav,No
Abuse_46.wav,Yes
Abuse_48.wav,No
Abuse_49.wav,Yes
Abuse_50.wav,No
Abuse_51.wav,No
Abuse_53.wav,Yes
Abuse_54.wav,Yes
Abuse_57.wav,No
Abuse_59.wav,Yes
Abuse_60.wav,Yes
Abuse_62.wav,Yes
Abuse_63.wav,Yes
Abuse_64.wav,No
Abuse_65.wav,No
Abuse_66.wav,No
Abuse_67.wav,Yes
Abuse_68.wav,No
Abuse_70.wav,Yes
Abuse_71.wav,Yes
Abuse_72.wav,No
Abuse_73.wav,No
Abuse_74.wav,No
Abuse_75.wav,No
Abuse_79.wav,Yes
Abuse_80.wav,No
Abuse_81.wav,No
Abuse_82.wav,Yes
Abuse_83.wav,Yes
Abuse_84.wav,No
Abuse_85.wav,No
Abuse_86.wav,No
Abuse_88.wav,No
Abuse_89.wav,Yes
Abuse_90.wav,Yes
Abuse_91.wav,No
Abuse_92.wav,Yes
Abuse_95.wav,Yes
Abuse_97.wav,No
Abuse_98.wav,No
Abuse_99.wav,No
Abuse_100.wav,No
Abuse_102.wav,Yes
Abuse_103.wav,No
Abuse_106.wav,Yes
Abuse_107.wav,Yes
Abuse_108.wav,No
Abuse_109.wav,No
Abuse_110.wav,No
Abuse_111.wav,No
Abuse_112.wav,Yes
Abuse_113.wav,No
Abuse_114.wav,No
Abuse_115.wav,Yes
Abuse_116.wav,Yes
Abuse_117.wav,No
Abuse_119.wav,No
Abuse_120.wav,No
Abuse_122.wav,No
Abuse_124.wav,Yes
Abuse_125.wav,Yes
